"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x8189501fc9bad0a1c210574ac47c713b3dd01022869f14cb4787fc021b0c7ce6","44848398","1688858402","2023-07-08 23:20:02","0xa3d2f9027ee9ddd2c529876d85f66d98d44e25bb","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.08","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xbce1588c92898a28627c071ad5c16f519c6778d6c10f4052b57b2249e44d4cca","44848500","1688858652","2023-07-08 23:24:12","0xdf1e9fa6b384f6458c3415f7ef33f3e22d28adde","0x8d58a40977e1f40ffaf383511046bc72047c8de9","3","$3.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xf9d6e805da8b244939f6d81f7e8c50096aa8c97ff03afd96bef5d38ff8ff74f9","44848513","1688858689","2023-07-08 23:24:49","0x93694e027950520bd9b79cb3deb570c8feda1e44","0x8d58a40977e1f40ffaf383511046bc72047c8de9","99.999","$100.07","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x0eb9b2a90acb006d05307011de6d2949ad31d572e59c01edb35c1960d9368e2e","44848516","1688858695","2023-07-08 23:24:55","0x5f8b075c2ca0aa018dce2744c816bbd856cf289f","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.08","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xa01325110066f187e792f7d7a4cd04568216916ecefc3d5aa49c14fc07c7a04d","44848690","1688859092","2023-07-08 23:31:32","0x66a9b546b15254545939ad230585c794c4055049","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.08","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x446c804adfe7278d8a5d4b0a5622f57c8e28b4a999873d9702ec2fdab374dc15","44848713","1688859140","2023-07-08 23:32:20","0x605f8ed0174634b7881331227c667515aa37623a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0","$0.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xec46b24891e05d390df233aee9a176fa7625d4261aabe310ec0c2aaf8ba460d3","44848715","1688859144","2023-07-08 23:32:24","0x605f8ed0174634b7881331227c667515aa37623a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","99.999","$100.07","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xa2470361fcdcce9fec842a494ccc5bf3a24b622726eaebe529437044b1ee85ea","44849292","1688860415","2023-07-08 23:53:35","0x7875b3b615399f39c23fd5d7658aa93ad42a86a0","0x8d58a40977e1f40ffaf383511046bc72047c8de9","99.999","$100.07","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xe20d6d7221d549e6b672449aa0e45428831c7d8dfe0a2743a865dc31f1950617","44849411","1688860688","2023-07-08 23:58:08","0x3804b574959caca2f6f1cf2117484d34030171cb","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.08","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xffb9336082358cb8be7f33bc95da119ad7cb40860b47a894bf3f572d3f6f017f","44849546","1688860974","2023-07-09 00:02:54","0x22466c3d117354703a0bfea38eea295423198a2b","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x46c6f4886c0455d7fb1cbfa82c1c267144177686f110420579f0197bb3e7f2eb","44849804","1688861522","2023-07-09 00:12:02","0x247f30fe3bf8c8cc39f6d3a7e17f848ded7465ec","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x933726429cb142626b1ee77edcb384a68a59e30f183e48c1d37b8eb7f62062f9","44849992","1688861922","2023-07-09 00:18:42","0x58ccf61385304ebb015225305d373dd082678ff4","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x4d8ebd70ef4426f41839e88ced27fddea1a837fd408ba6a665d7d9c69a6e305c","44850387","1688862795","2023-07-09 00:33:15","0xd1639c2765dd87f6515300731dcecdd6d78ece7c","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xd49d7fb3fe5411bd07957b10e62574cba937b65c7cffc28b56ca1b4a1813d962","44850777","1688863624","2023-07-09 00:47:04","0x301c20e40bcb37e92df24e65e173735c72ff6a72","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.005","$100.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x7a80796c1ac2df44898e45a1b3badd3a6377b101efb07d5bb03fd2679e08ba97","44850893","1688863902","2023-07-09 00:51:42","0x2d7179da4e93b2bc5332fff563495f0c1c1ad1d2","0x8d58a40977e1f40ffaf383511046bc72047c8de9","188.04","$188.06","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x56ba4e6b99be141a7f48396644f34daf5db545a9920ac9053db7fce6988d9ea1","44850995","1688864120","2023-07-09 00:55:20","0x24b6d4aea6e8a4ae4f53188b455c964813dabb4d","0x8d58a40977e1f40ffaf383511046bc72047c8de9","150","$150.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x8de1687859698f5026d164bc5e1143f28bd87c34283b2b9f8c7ba10157f53a7d","44851007","1688864144","2023-07-09 00:55:44","0xaac3cc88392e9c472aee99361cc333d2c973166a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","105","$105.01","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xbb5f89c361388393889afff880a5293289831d914c11eb0873278eff6cdb2001","44851108","1688864360","2023-07-09 00:59:20","0x2035c950affbafdb71f44534ff53d81c8560d81e","0x8d58a40977e1f40ffaf383511046bc72047c8de9","150","$150.02","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
